sentence1,sentence2,similarity_score,pred_sim_score_cos,pred_sim_score_euclid,pred_sim_score_dot
une femme coupe un oignon.,un homme est en train de couper et d'ogner.,0.64,0.26893398,0.19450717,0.1795230623003476
un homme joue de la guitare.,un homme joue de la batterie.,0.3112,0.45204312,0.2050528,0.2635012136084428
une femme est en train de couper un poivron.,une femme coupe un poivron rouge.,0.7876,0.84038365,0.34292784,0.3657358506291904
un homme joue de la batterie.,un homme joue du tambour.,1.0,0.3870287,0.17639123,0.2684340524157032
une femme monte a cheval.,une femme monte a cheval.,1.0,0.9999998,1.0,0.5012200197575347
un homme mange une banane pres d'un arbre.,un homme mange une banane.,0.8,0.86034065,0.26154298,0.7808406408963874
un chat joue sur un clavier.,un homme joue de deux claviers.,0.32,0.4860146,0.18301208,0.3357715830230524
un homme abat un arbre avec une hache.,un homme a coupe un arbre avec une hache.,0.95,0.942201,0.37931827,0.6613182410985573
un enfant joue avec un telephone jouet.,un petit garcon joue avec un telephone jouet.,0.7,0.8805953,0.2931851,0.6570656694935221
un homme conduit une moto.,un homme est a cheval.,0.28,0.32303756,0.17487028,0.2316808570431764
un homme conduit une moto.,un homme est a cheval.,0.28,0.32303756,0.17487028,0.2316808570431764
un ecureuil tourne en rond.,un ecureuil tourne en rond.,0.8,0.9999999,1.0,0.7480045050171208
un homme et une femme s'embrassent.,un homme et une femme s'embrassent.,1.0,1.0,1.0,0.5921592827021127
un homme monte dans une voiture.,un homme monte dans une voiture dans un garage.,0.7666,0.8055222,0.26860404,0.4849866778223542
un homme est en train de danser.,un homme parle.,0.120000005,0.26231253,0.17323382,0.2084897426979132
un homme joue de la guitare et chante.,un homme joue de la guitare.,0.5834,0.88953173,0.3528053,0.4338168533160654
une personne coupe des champignons.,une personne coupe des champignons avec un couteau.,0.84,0.88194036,0.3023579,0.4199515304609575
un bebe tigre fait un bruit.,un tigre se promene.,0.4,0.7254709,0.20510603,0.6490670201438165
une personne coupe des oignons.,une personne est en train de peler un oignon.,0.52,0.73016393,0.26218486,0.2965042173093742
un homme joue du piano.,un homme joue de la trompette.,0.32,0.43466973,0.16789943,0.3593153463899757
une femme epluche une pomme de terre.,une femme epluche une pomme.,0.4,0.96186876,0.4081366,0.7187311367100658
un pankda mange du bambou.,un panda est en train de manger du bambou.,0.84,0.75834966,0.20566936,0.4771157204901877
une personne est en train de peler un oignon.,une personne est en train d'eplucher une aubergine.,0.4,0.44435877,0.21489415,0.2084053671252359
un singe pousse un autre singe.,le singe a pousse l'autre singe.,0.96000004,0.9786164,0.5023586,0.710494841295919
un ecureuil tourne en rond.,un ecureuil tourne en rond.,0.88,0.9999999,1.0,0.7480045050171208
un homme est en train de lacer sa chaussure.,un homme attache sa chaussure.,1.0,0.74339914,0.31388858,0.2825328806945163
un garcon chante et joue du piano.,un garcon joue du piano.,0.6,0.9274307,0.39753586,0.5025527717983364
un chien mange de la pasteque.,un chien mange un morceau de pasteque.,0.85,0.974697,0.47299448,0.4972364829451015
une femme est en train de couper des brocolis.,une femme coupe des brocolis avec un couteau.,0.85,0.863819,0.31771034,0.5039458970524515
un homme est en train d'eplucher une pomme de terre.,un homme a epluche une pomme de terre.,0.76,0.9771193,0.4907359,0.7348415951137233
une femme joue de la guitare.,un homme joue de la guitare.,0.48000002,0.6684702,0.23497435,0.394465245598766
une femme est en train de couper une tomate.,un homme est en train de couper un oignon.,0.32,0.5771711,0.19048853,0.4403061189053107
un homme nage sous l'eau.,une femme nage sous l'eau.,0.4,0.6987824,0.24105383,0.4166795694374766
un homme et une femme se parlent.,un homme et une femme mangent.,0.32,0.63076246,0.21317267,0.4110140242166041
un petit chien poursuit une balle de yoga.,un chien poursuit une balle.,0.8,0.59764445,0.19588785,0.441667989000321
les hommes jouent au cricket.,les hommes jouent au basket-ball.,0.44,0.4811587,0.16137917,0.4454745468135498
un homme part en moto.,un homme est a moto.,0.88,0.9659376,0.4936322,0.5047949154000313
un homme joue de la guitare.,un homme chante et joue de la guitare.,0.71999997,0.88756174,0.35171667,0.4523435759428239
l'homme a parle au telephone.,l'homme parle au telephone.,0.71999997,0.969927,0.49905977,0.5429054261627587
un homme est en train de pecher.,un homme fait de l'exercice.,0.1,0.62817913,0.28616878,0.2413972044530854
un homme est en levitation.,un homme parle.,0.16,0.2539747,0.17054656,0.2078996346084903
deux garcons conduisent.,deux baies dansent.,0.120000005,0.38522997,0.1921289,0.2486573104214317
un homme est monte sur un cheval.,une fille monte a cheval.,0.52,0.66518736,0.22743158,0.4146284028720552
un homme est a velo.,un singe fait du velo.,0.4,0.47266355,0.20944905,0.2601979172844235
un homme est en train de couper des pommes de terre.,une femme epluche une pomme de terre.,0.44,0.33340102,0.14691657,0.3254256979383883
une femme epluche une pomme de terre.,un homme coupe une pomme de terre.,0.48000002,0.6798997,0.21268082,0.5017668781866237
un homme joue de la guitare.,someoen joue de la guitare.,0.71999997,0.5658177,0.21228719,0.3463970281419316
une femme est en train de couper un poireau.,une femme est en train de couper du gingembre.,0.44,0.8001355,0.33386946,0.3126358731222194
l'homme a coupe une assiette en papier.,un homme coupe une assiette en papier.,0.96000004,0.96459395,0.46559373,0.5811152588755302
l'homme joue de la guitare.,un homme joue de la flute.,0.3286,0.2801433,0.16755588,0.229341141246071
un homme joue du piano.,l'homme joue du violon.,0.35,0.46726486,0.17075811,0.3840655588983438
une femme est en train de decouper de la viande.,une femme est en train de paner un peu de viande.,0.45,0.9367906,0.39739102,0.5387424526804905
un homme joue sur son clavier.,un homme joue d'un piano a clavier.,0.8,0.82547456,0.27928767,0.5001943964041072
la dame a coupe les oignons verts.,la dame a coupe un oignon vert.,0.96000004,0.94104326,0.45073077,0.418955853289886
quelqu'un met des nouilles dans l'eau.,une femme fait bouillir des nouilles dans de l'eau.,0.64,0.65018964,0.25296316,0.3164284863260014
lionel richie danse au plafond.,lionel ritchie danse debout au plafond.,0.8,0.9133774,0.38806018,0.4206558668070744
un homme joue du piano.,une personne joue du piano.,0.88,0.92605394,0.36637235,0.5869960907008689
une femme joue de la flute.,une femme joue de la flute.,0.91999996,1.0,1.0,0.4625847696013925
un garcon verifie un calendrier.,un garcon regarde un calendrier.,0.76,0.8439648,0.31944522,0.4200721433185285
une femme est en train de couper un oignon.,une femme est en train de couper des oignons.,0.96000004,0.9767345,0.49047536,0.6071517146793994
un homme joue de la guitare.,un homme joue de la guitare.,0.97139996,1.0,1.0,0.5432834800188706
une femme utilise une machine a coudre.,une femme est en train de coudre sur une machine.,1.0,0.9480201,0.39885885,0.6544286423346588
une femme fait des crepes.,un chef de bande dessinee fait des crepes.,0.5066,0.41467032,0.2590507,0.1753745610252974
un homme court sur la route.,une voiture est en train de rouler sur la route.,0.2,0.49086693,0.20706159,0.2914875238487549
un homme est monte sur un cheval.,un homme parle au telephone.,0.2,0.16739547,0.15414213,0.1799102456014374
un homme est a velo.,un homme est monte sur un cheval.,0.4,0.28106472,0.18221281,0.1973202641354796
une femme est en train de danser.,un homme est en train de manger.,0.028600002,-0.13812618,0.14641358,0.0374491168681155
un homme joue du piano.,un homme joue de la flute.,0.4,0.42561504,0.17418152,0.3273440167207087
un homme joue de la flute.,un homme joue du piano.,0.32,0.42561504,0.17418152,0.3273440167207087
un homme tourne.,un homme est en train de danser.,0.32,0.50742483,0.22179125,0.2630378491962615
un singe se balance de membre en membre.,un singe se balance d'arbre en arbre.,0.68,0.76037943,0.22289465,0.6323755363465443
les gens sont descendus du train.,les gens sont descendus du train a la gare.,0.8,0.9371267,0.38110742,0.6317601035641032
un chien saute sur un trampoline.,un chien rebondit sur un trampoline.,0.96000004,0.9338615,0.38515112,0.5247440950456032
un garcon joue d'un instrument.,un homme joue de la trompette.,0.5,0.7165233,0.23143953,0.4464349617538365
une femme joue de la guitare.,un homme chante et joue de la guitare.,0.35,0.5984832,0.22627105,0.3358039334484164
une femme choisit une boite de conserve.,une femme coupe une tomate.,0.2,0.5043367,0.21171236,0.2263076410582729
un homme est en train de grimper a une corde.,un homme grimpe sur une corde.,1.0,0.96534073,0.45677495,0.6442230047587982
un homme souleve une voiture.,un homme est en train d'escalader un mur.,0.28,0.21209821,0.15860017,0.1975864806209999
un homme et une femme descendent la rue dans une jeep.,un homme et une femme roulent sur la route dans un vehicule en plein air.,0.8,0.8002465,0.2574578,0.5446477009292666
l'homme torse nu s'est assis sur une chaise.,un homme torse nu est assis sur une chaise.,0.76,0.97610515,0.5077997,0.6077930598587051
deux femmes luttent.,deux femmes se battent sur le sol.,0.8,0.8302827,0.2713123,0.5863226889481223
le chiot jouait avec une balle de tennis bleue.,un chiot joue avec une balle de tennis.,0.8,0.8510925,0.27751935,0.6375769290978051
un kangourou est en train de manger quelque chose.,un kangourou est en train de manger.,0.96000004,0.984477,0.49239555,0.8729418477729497
un chat joue du piano.,un homme joue de la guitare.,0.120000005,0.1202055,0.13545689,0.1688903577032747
l'homme a coupe du tapis avec un couteau.,un homme coupe un tapis avec un couteau.,0.95,0.98719555,0.56061083,0.6809636847107775
une femme conduit un scooter motorise sur une route.,un homme conduit un scooter.,0.44,0.67585987,0.19944553,0.564649399927659
quelqu'un coupe un legume.,quelqu'un est en train de couper une tomate.,0.6,0.7262501,0.22559342,0.3856548703819167
une femme est en train de danser.,un homme parle.,0.0,-0.08116594,0.14574689,0.0589964569472204
un chien leche la bave d'un bebe.,un chien leche un bebe.,0.44,0.96957326,0.43498296,0.740767680135236
un homme rame sur un bateau.,un homme coupe une tomate en tranches.,0.08,0.16343968,0.16252877,0.1677432399365065
un homme coupe des pommes de terre.,un homme coupe des pommes de terre.,0.96000004,1.0000001,1.0,0.6640191676938126
une femme est en train de hacher de l'ail.,la femme coupe l'ail en des.,0.96000004,0.8480969,0.41283315,0.2531307785312853
un animal tourne en rond.,un ecureuil tourne en rond.,0.76,0.59797376,0.19996855,0.4107499314790743
un homme marche lentement sur un pont de corde.,un garcon marche sur un pont.,0.6,0.7786169,0.25239968,0.5029285549804963
un homme joue de la guitare.,un homme assis dans une piece joue de la guitare.,0.8,0.88388824,0.3450183,0.477216805551771
un homme joue de la flute.,un homme joue de la flute.,1.0,1.0,1.0,0.602681852934058
une femme casse deux ufs dans un bol en verre.,une femme casse un uf dans un bol.,0.76,0.661141,0.24652371,0.3241151985023169
un homme coupe un poisson.,un homme etripe un poisson.,0.6,0.94986415,0.3931464,0.6964817910648713
deux hommes font leurs valises dans le coffre d'une voiture.,les hommes mettent des valises dans le coffre de la voiture.,0.88,0.9266143,0.371246,0.5840204392712258
un homme verse de l'huile sur des tomates.,l'homme a verse de l'huile sur les tomates coupees.,0.76,0.96850944,0.5169077,0.4693741648594773
un homme est en train de decouper quelque chose.,un homme est en train de couper un petit pain.,0.6,0.43048534,0.1876688,0.2646306201183849
un homme pagaie dans un canoe.,un homme joue de la harpe.,0.1334,0.36323547,0.16260837,0.3015053766887803
un homme et une femme marchent ensemble a travers les bois.,un homme et une femme marchent bras dessus bras dessous dans une zone boisee.,0.8,0.85331297,0.29161277,0.5747996330590893
la femme a ramasse le kangourou.,une femme ramasse un bebe kangourou.,0.75,0.8503447,0.28035048,0.5825256412516809
les poissons nagent.,un poisson nage.,0.82659996,0.8771775,0.28612468,0.572507908623806
deux femmes melangent quelque chose dans un robot menager.,deux femmes font quelque chose dans un mixeur.,0.8,0.6150571,0.1880956,0.5120337171039451
une personne surfe sur une grande vague.,une personne est en train de surfer.,0.71999997,0.89716583,0.3403645,0.5479309351810742
un homme joue de la guitare.,un homme poignarde une cible.,0.24000001,0.29916072,0.1797524,0.2190609988507718
un homme joue de la flute dans un groupe.,un homme joue de la guitare.,0.32,0.29384166,0.17368428,0.2270304767186464
l'homme a etale du beurre sur la miche de pain.,un homme etend du beurre sur du pain.,0.8,0.9772239,0.5508262,0.4669849884409338
une personne fait bouillir des nouilles.,une femme fait bouillir des nouilles dans de l'eau.,0.8,0.7649382,0.29397166,0.3264250883292167
un groupe de personnes danse sur une colline.,un groupe de personnes est en train de danser.,0.64,0.7902831,0.26187184,0.5048062954836028
un homme est en train de danser dehors.,un homme joue de la flute.,0.2,0.38147256,0.18245032,0.2664909832873054
une femme nourrit un homme.,une femme est en train de melanger de la viande.,0.2,0.5244113,0.2240709,0.279753014787163
un homme met une casserole dans un four.,une femme est en train de couper un oignon.,0.120000005,0.1680403,0.14709917,0.1901710939465969
une femme est assise a un bureau.,une femme monte un ane.,0.08,0.4772641,0.22943422,0.2221602817986516
les medecins transportent un patient sur un brancard.,un medecin precipite un patient sur une civiere.,0.68,0.828967,0.32677254,0.3777195327647565
une femme joue de la flute sur scene.,la femme joue de la flute.,0.71999997,0.96955466,0.50039196,0.4799794410508999
deux bebes pandas jouent.,deux pandas sont couches ensemble.,0.6,0.8400383,0.24563183,0.7831587051495145
un bebe rit.,un bebe rit et glousse.,0.8,0.9589888,0.45589676,0.5587438311131485
un homme joue de la guitare.,un garcon joue du piano.,0.24000001,0.41211578,0.18674421,0.2813131547889048
un homme est en train de plier du papier.,une femme est en train de couper un poivron.,0.120000005,0.29271618,0.17569609,0.2173377443178387
trois femmes dansent.,l'homme est en train de danser.,0.32,0.3820467,0.16465786,0.309423083190548
les chats jouent entre eux.,deux chats s'affrontent.,0.52,0.9041832,0.32369685,0.6609509796221705
une personne est en train d'ecrire.,une personne ecrit avec un crayon.,0.71999997,0.7124293,0.22587356,0.4077533097076387
un homme est en train de courir.,un homme est en train de courir sur une route.,0.7,0.84978354,0.3212501,0.4373497548473546
la femme est en train de rouler la pate.,une femme est en train de fariner et de rouler la pate.,0.753,0.69419247,0.288304,0.2602309088412564
une femme ajoute des epices sur une viande.,une femme ajoute du sucre a la viande.,0.55,0.77365464,0.29309314,0.3561054682637251
une femme ajoute de l'huile sur des poissons.,une femme verse de l'eau sur des poissons.,0.45,0.803093,0.25873792,0.5611368543205048
un jeune garcon tient une guitare.,un petit garcon joue de la guitare.,0.55,0.8507606,0.3069959,0.4985514168738322
un guepard est en train de courir.,un guepard court a travers un champ.,0.76,0.8352793,0.292493,0.5034562863207656
l'homme mange une pizza.,un homme mange une tranche de pizza.,0.96000004,0.9375348,0.35602257,0.7363410947640395
un orang-outan est dans un bus.,un singe monte dans un bus.,0.71999997,0.6662091,0.1975012,0.5338645641828699
un homme et une femme discutent dans un restaurant.,un homme et une femme sont a velo.,0.24000001,0.4495873,0.18957207,0.2771585828002592
un homme joue de la guitare.,un homme est en train de nettoyer une porte en verre.,0.08,0.13507324,0.15129197,0.1633781564371469
une fille chante et joue de la guitare.,un jeune homme chante tout en jouant de la guitare.,0.48000002,0.692106,0.2442475,0.3924477117216464
une fille communique avec le langage des signes.,une jeune fille utilise le langage des signes.,0.7882,0.9590177,0.42376432,0.5830997210543835
une femme fait des exercices de musculation.,une femme se coiffe.,0.1,0.53916836,0.26309633,0.2068651623051027
un homme monte dans une voiture.,un homme age monte dans une voiture rouge.,0.75,0.7902847,0.2756454,0.4477252922624514
une grosse balle verte renverse une pomme de terre.,une grosse balle verte frappe une pomme de terre.,0.8,0.98169994,0.5209437,0.7228826232535177
un chat joue des claviers.,un chat joue du piano.,0.6,0.78790474,0.22687085,0.6755378959454311
deux chiens nagent dans une piscine.,les chiens nagent dans une piscine.,0.84,0.91582143,0.3287282,0.6993591356692958
l'homme a utilise un hachoir pour couper l'oignon.,l'homme a utilise une machine pour hacher une pomme de terre.,0.4,0.49106556,0.17779031,0.3651958843633912
une femme coupe du tofu.,une femme est en train de couper du tofu.,1.0,0.89347076,0.32567537,0.3894678395098336
un troupeau de cerfs traverse la rue.,un troupeau de caribous traverse une route.,0.6,0.736876,0.25611913,0.4255989102902136
la personne est a cheval.,un homme est a cheval.,0.76,0.8965477,0.3905359,0.3833442592821144
quelqu'un nourrit un animal.,quelqu'un joue du piano.,0.0,0.13810581,0.152831,0.1638507771849092
quelqu'un coupe des tortillas.,quelqu'un monte a cheval.,0.0,0.46681055,0.23355494,0.2202968598983485
quelqu'un melange les ingredients.,quelqu'un est en train de coudre des choses.,0.05,0.59589016,0.26523194,0.2522209061217904
un coq picore une souris morte.,un poulet picore une souris morte.,0.8,0.8933449,0.30153608,0.5559879274944421
une femme tient un kangourou.,une femme est en train de ramasser un kangourou.,0.65,0.8990161,0.30393356,0.7375832869848709
un homme joue avec des grenouilles,un chat joue avec un appareil photo.,0.15,0.15176266,0.14379537,0.1800357404080053
deux hommes parlent.,deux hommes jouent de la guitare.,0.3,0.42670098,0.1720647,0.3360268334890748
un homme etend du beurre sur un gros morceau de pain.,un homme enduit du beurre sur une tranche de pain a l'ail.,0.7,0.9644382,0.45500806,0.5520509528549317
un homme court a travers un haut fil.,un homme court sur une corde.,0.6,0.6507354,0.22761191,0.3956116153788205
un homme est en train de tondre une pelouse.,une femme coupe un citron.,0.04,0.05364363,0.1471138,0.1217255278782662
un homme ouvre une porte.,un homme joue de la guitare.,0.16,0.23270409,0.16042766,0.2106599460060448
un homme coupe une pomme de terre en morceaux.,un homme coupe une pomme de terre.,0.84,0.986066,0.55814016,0.7145224291830221
la femme coupe un poulpe cuit.,une femme est en train de decouper un poulpe.,0.76,0.8584931,0.39554617,0.2927396001797305
un homme est en train de percer des planches.,un chien court dans l'eau.,0.08,-0.06515124,0.17228213,0.0768737401098792
un homme est en train de danser.,un homme mange du pain.,0.16,0.18110715,0.15972765,0.1801859521683867
quelqu'un joue du piano.,un homme joue de la guitare.,0.24000001,0.2960633,0.16726677,0.2402827042497933
deux renards mangent dans une assiette sur un patio en briques.,les renards mangent dans une assiette.,0.56,0.80916965,0.26749542,0.4844795695443318
un garcon joue au clavier.,un garcon joue du piano.,0.64,0.7104614,0.25971964,0.3464743379115463
une personne joue au clavier.,quelqu'un joue du clavier.,1.0,0.9718068,0.5249322,0.4893546798055875
un homme tire au fusil.,un homme est en train de cracher.,0.0,0.47895414,0.2240925,0.2330124871039076
quelqu'un est en train de couper un oignon.,someoen est en train de peler une pomme de terre.,0.2,0.4691692,0.19955614,0.2684145246197155
un homme est en train de nager.,une femme est en train de couper de la viande.,0.0,0.041284792,0.15218058,0.1137480959731066
un homme joue de la guitare.,un homme joue d'une guitare acoustique.,0.75,0.9115735,0.37611315,0.4896947466221721
une femme coupe une citrouille.,une femme monte un elephant.,0.08,0.3858787,0.1813514,0.2343774159303004
une femme est en train de danser.,une femme petrit la pate.,0.08,0.43299142,0.2133802,0.2183677888070199
une femme casse des ufs dans un bol.,une femme place des brochettes sur une etagere.,0.120000005,0.60973096,0.27275008,0.2503566427364346
une voiture se deplace sur une route.,une voiture est en train de rouler sur la route.,0.8,0.9628867,0.48694956,0.4723543843508357
quelqu'un graisse une casserole.,smeone est en train de se coucher.,0.08,0.3658291,0.20940416,0.2074110924292524
un homme joue de la guitare.,un homme est en train d'egoutter des pates.,0.08,0.39425737,0.21015577,0.1993639575122175
une femme boit de la vodka.,une femme fait de l'exercice.,0.08,0.31966215,0.17702417,0.2293677214882157
une femme coupe de la viande en morceaux.,une femme est en train de decouper de la viande.,0.96000004,0.8428278,0.31202674,0.3401140466027779
un homme est en train de rincer un steak.,un homme joue de la guitare.,0.120000005,0.2906971,0.15835199,0.2531152310931665
un homme vend des objets.,un homme nettoie la maison.,0.16,0.25390232,0.14837511,0.2461459717442676
un homme saute un mur.,un homme saute sur un court mur.,0.64,0.9352834,0.36300537,0.7025859503518476
les coureurs font la course autour d'une piste.,les coureurs s'affrontent dans une course.,0.64,0.88227475,0.33395168,0.5116734012184704
un homme donne un coup de pied dans un ballon de foot.,un homme est en train de melanger un bol.,0.120000005,0.75164014,0.2662102,0.3647418030006021
une femme est en train de faire frire quelque chose.,une femme monte a cheval.,0.120000005,0.36600184,0.1927108,0.2367457021484849
un chat leche une ventouse.,une femme est en train de couper un concombre.,0.0,0.19019374,0.18654652,0.1575692916191828
une femme danse pres d'un feu.,une femme prend un bain.,0.28,0.23849753,0.1478082,0.2409297528277905
l'homme est en train d'ouvrir un poisson.,un homme coupe une pomme de terre en tranches.,0.44,0.23754336,0.13993366,0.2579246520926798
le beurre fond dans une casserole.,un homme fait fondre du beurre dans une poele.,0.71999997,0.84556496,0.29675007,0.4865104336132406
trois garcons sont en train de danser.,les enfants dansent.,0.6222,0.53594244,0.20420069,0.3103308051382413
une femme joue un jeu avec un homme.,un homme joue du piano.,0.120000005,0.08048408,0.14331646,0.1387756779831713
l'homme conduit une voiture blanche.,un homme donne une interview.,0.08,0.21212032,0.1472336,0.2213006714249307
un homme conduisait sa voiture.,un homme conduit une voiture.,0.85,0.93908083,0.40895596,0.4715125520184688
une voiture recule d'un espace.,une voiture sort d'une voie bloquee.,0.6,0.78029644,0.28140053,0.4088261897930801
un homme met du fromage sur une pizza.,l'homme a saupoudre du fromage sur la pizza.,1.0,0.9705035,0.45386064,0.7337523661758271
le garcon joue du piano.,un garcon joue du piano.,1.0,0.9865044,0.6016612,0.5329050307983529
l'homme jouait de la guitare.,un homme joue de la guitare.,0.75,0.9641475,0.48480555,0.517257496028992
un homme est a cheval.,un homme joue du clavier.,0.04,0.22671574,0.18432018,0.1742926182794061
un homme marche sur une corde.,un homme est a cheval sur un mo-pad.,0.08,0.39470297,0.18393116,0.2722909924768564
une fille joue de la flute.,un groupe joue sur une scene.,0.2572,0.25532764,0.19300623,0.1780342081037949
les gens descendent d'un train.,un groupe de personnes descend d'un train.,0.91999996,0.95546556,0.39764804,0.775234640760681
une femme est en train de coudre sur une machine.,une femme est en train de paner un peu de viande.,0.120000005,0.48754838,0.18386012,0.357448638690895
un chien regarde dans la piscine.,un chien se promene autour d'une piscine.,0.4,0.8940475,0.3081273,0.6853693264539926
un homme est en train de beurrer un morceau de pain.,un homme applique du beurre sur du pain.,1.0,0.84278524,0.29368713,0.4988471120500125
un homme coupe des tomates en morceaux.,une femme est en train de couper des legumes.,0.35999998,0.5296247,0.22023016,0.2604306480076038
