sentence1,sentence2,similarity_score,pred_sim_score_cos,pred_sim_score_euclid,pred_sim_score_dot
un homme verse de l'huile dans un pot.,un homme verse du vin dans un pot.,0.64,0.64853275,0.4565532,0.2678465621406826
un homme joue de la guitare.,une fille joue de la guitare.,0.56,0.89367294,0.49633914,0.822033509489937
un panda glisse sur un toboggan.,un panda glisse sur un toboggan.,0.91999996,1.0,1.0,0.47096271701445774
une femme est en train de manger quelque chose.,une femme mange de la viande.,0.6,0.72545993,0.43080676,0.43343601408620896
une femme epluche une pomme de terre.,une femme epluche une pomme de terre.,1.0,1.0,1.0,0.4794925313515794
le garcon est tombe de son velo.,un garcon tombe de son velo.,0.96000004,0.8786094,0.685899,0.16847018512900772
la femme joue de la flute.,une femme joue de la flute.,1.0,0.9829947,0.7272231,0.6778069449093567
un lapin court apres un aigle.,un lievre court devant un aigle.,0.84,0.777237,0.5096696,0.3009255344510688
la femme fait frire une cotelette de porc panee.,une femme prepare une cotelette de porc panee.,0.84,0.9253246,0.62986344,0.40720758241842886
une fille fait voler un cerf-volant.,une fille qui court fait voler un cerf-volant.,0.8,0.98474103,0.76996857,0.5517854556580845
un homme monte un taureau mecanique.,un homme etait a cheval sur un taureau mecanique.,0.8,0.77593505,0.5287039,0.28192616859130837
l'homme joue de la guitare.,un homme joue de la guitare.,0.98179996,0.9877683,0.74388343,0.9047627981780455
une femme danse et chante avec d'autres femmes.,une femme danse et chante sous la pluie.,0.6,0.76940924,0.4320842,0.5576598193183524
un homme est en train de couper un petit pain.,un homme coupe un oignon en tranches.,0.48000002,0.66797125,0.42460936,0.3666510874503283
un homme verse de l'huile dans une casserole.,un homme verse de l'huile dans une poele.,0.84,0.8935336,0.6045448,0.324940473153406
un lion joue avec les gens.,un lion joue avec deux hommes.,0.68,0.8844859,0.5282155,0.5788582745321149
un chien fait du skateboard.,un chien fait du skateboard.,1.0,0.99999994,1.0,0.5710904352099135
quelqu'un est en train de sculpter une statue.,un homme est en train de sculpter une statue.,0.75,0.8665683,0.53066796,0.4648124403011435
une femme coupe un oignon.,un homme est en train de couper un oignon.,0.55,0.8301692,0.5293706,0.36623307764961865
une femme epluche des crevettes.,une femme est en train de peler des crevettes.,1.0,0.7706651,0.5055152,0.3013226470303386
une femme fait frire du poisson.,une femme fait cuire du poisson.,0.8,0.94633734,0.6592265,0.4442427757254084
une femme joue de la guitare electrique.,une femme joue de la guitare.,0.71999997,0.94241685,0.58084834,0.8010270733745353
un bebe tigre joue avec une balle.,un bebe joue avec une poupee.,0.32,0.6581528,0.40115815,0.381093508016672
une personne coupe une tomate en tranches.,une personne coupe de la viande en tranches.,0.35,0.6378113,0.44656312,0.2693193041722087
une personne coupe un oignon.,une personne est en train de couper un oignon.,1.0,0.9386914,0.6688622,0.3047980793993524
un homme joue du piano.,une femme joue du violon.,0.2,0.7533723,0.42136014,0.5459901048496839
une femme joue de la flute.,un homme joue de la guitare.,0.2,0.64299685,0.3650662,0.5058485254117567
un homme est en train de couper une pomme de terre.,un homme est en train de couper des carottes.,0.475,0.82236105,0.49822623,0.44575639699303576
un enfant joue de la guitare.,un garcon joue de la guitare.,0.76,0.9361228,0.5460188,0.8135479737283792
un garcon joue de la guitare.,un homme joue de la guitare.,0.64,0.9720476,0.64798665,0.807682457066969
un homme joue de la guitare.,un garcon joue de la guitare.,0.64,0.9720476,0.64798665,0.807682457066969
un petit garcon joue du clavier.,un garcon joue au clavier.,0.88,0.93562365,0.63852197,0.4486031694678476
un homme joue de la guitare.,un homme joue de la guitare electrique.,0.75,0.9375257,0.56534004,0.8297697088063712
un chien leche un bebe.,un chien est en train de lecher un bebe.,0.95,0.93143225,0.60260904,0.5705913424467662
une femme coupe un oignon.,un homme est en train de couper et d'ogner.,0.64,0.5419239,0.43307775,0.2162057581825179
un homme joue de la guitare.,un homme joue de la batterie.,0.3112,0.65893394,0.3754649,0.4473463726547458
une femme est en train de couper un poivron.,une femme coupe un poivron rouge.,0.7876,0.84752,0.5492149,0.3726296321488694
un homme joue de la batterie.,un homme joue du tambour.,1.0,0.7645111,0.4688172,0.4057676570870992
une femme monte a cheval.,une femme monte a cheval.,1.0,0.9999998,1.0,0.5860183293909167
un homme mange une banane pres d'un arbre.,un homme mange une banane.,0.8,0.9226668,0.55784667,0.6681753959361572
un chat joue sur un clavier.,un homme joue de deux claviers.,0.32,0.7196611,0.40133402,0.548408429808385
un homme abat un arbre avec une hache.,un homme a coupe un arbre avec une hache.,0.95,0.9329137,0.58246875,0.605448474365009
un enfant joue avec un telephone jouet.,un petit garcon joue avec un telephone jouet.,0.7,0.9363209,0.54400843,0.7549057943342751
un homme conduit une moto.,un homme est a cheval.,0.28,0.53570086,0.36070514,0.35731172913644776
un homme conduit une moto.,un homme est a cheval.,0.28,0.53570086,0.36070514,0.35731172913644776
un ecureuil tourne en rond.,un ecureuil tourne en rond.,0.8,1.0000001,1.0,0.45707772274806474
un homme et une femme s'embrassent.,un homme et une femme s'embrassent.,1.0,1.0,1.0,0.7762308967336563
un homme monte dans une voiture.,un homme monte dans une voiture dans un garage.,0.7666,0.8895685,0.5034515,0.6951688533081188
un homme est en train de danser.,un homme parle.,0.120000005,0.4960561,0.3680014,0.2844056598696983
un homme joue de la guitare et chante.,un homme joue de la guitare.,0.5834,0.9404335,0.56912893,0.8569762786138717
une personne coupe des champignons.,une personne coupe des champignons avec un couteau.,0.84,0.857795,0.5738917,0.2685918891084913
un bebe tigre fait un bruit.,un tigre se promene.,0.4,0.73379344,0.44834,0.3807508720313538
une personne coupe des oignons.,une personne est en train de peler un oignon.,0.52,0.73683006,0.523616,0.22414164690174124
un homme joue du piano.,un homme joue de la trompette.,0.32,0.7664125,0.4286667,0.5483448447279246
une femme epluche une pomme de terre.,une femme epluche une pomme.,0.4,0.97030044,0.72297585,0.46918041718546083
un pankda mange du bambou.,un panda est en train de manger du bambou.,0.84,0.7467818,0.44456607,0.32387839747772496
une personne est en train de peler un oignon.,une personne est en train d'eplucher une aubergine.,0.4,0.6832125,0.50113803,0.21485258137939683
un singe pousse un autre singe.,le singe a pousse l'autre singe.,0.96000004,0.9413058,0.6307683,0.519545030663077
un ecureuil tourne en rond.,un ecureuil tourne en rond.,0.88,1.0000001,1.0,0.45707772274806474
un homme est en train de lacer sa chaussure.,un homme attache sa chaussure.,1.0,0.807809,0.47161296,0.48863252712223454
un garcon chante et joue du piano.,un garcon joue du piano.,0.6,0.9114792,0.5691234,0.5642151404030158
un chien mange de la pasteque.,un chien mange un morceau de pasteque.,0.85,0.9758998,0.70911276,0.4890301190955312
une femme est en train de couper des brocolis.,une femme coupe des brocolis avec un couteau.,0.85,0.84723264,0.55127645,0.340525398638741
un homme est en train d'eplucher une pomme de terre.,un homme a epluche une pomme de terre.,0.76,0.9720215,0.7294596,0.46275161254259073
une femme joue de la guitare.,un homme joue de la guitare.,0.48000002,0.92350495,0.53932375,0.8330843262700397
une femme est en train de couper une tomate.,un homme est en train de couper un oignon.,0.32,0.70185417,0.42937475,0.40056627547787216
un homme nage sous l'eau.,une femme nage sous l'eau.,0.4,0.91756475,0.56249356,0.646485343938575
un homme et une femme se parlent.,un homme et une femme mangent.,0.32,0.72333145,0.43507275,0.42704538664038016
un petit chien poursuit une balle de yoga.,un chien poursuit une balle.,0.8,0.69827735,0.42128962,0.41865586042800274
les hommes jouent au cricket.,les hommes jouent au basket-ball.,0.44,0.67414093,0.3708784,0.5631256956865335
un homme part en moto.,un homme est a moto.,0.88,0.941725,0.5818512,0.6320848703495742
un homme joue de la guitare.,un homme chante et joue de la guitare.,0.71999997,0.942142,0.5737824,0.8472749996004141
l'homme a parle au telephone.,l'homme parle au telephone.,0.71999997,0.9852222,0.76186305,0.6010031407172804
un homme est en train de pecher.,un homme fait de l'exercice.,0.1,0.6007608,0.44810855,0.23184106362193932
un homme est en levitation.,un homme parle.,0.16,0.63097006,0.44982305,0.2602764510638881
deux garcons conduisent.,deux baies dansent.,0.120000005,0.56724507,0.40100348,0.29583624388155666
un homme est monte sur un cheval.,une fille monte a cheval.,0.52,0.84553015,0.48550805,0.5859568362116641
un homme est a velo.,un singe fait du velo.,0.4,0.36814222,0.40543067,0.14340483963741382
un homme est en train de couper des pommes de terre.,une femme epluche une pomme de terre.,0.44,0.61348945,0.41635868,0.31575480420638186
une femme epluche une pomme de terre.,un homme coupe une pomme de terre.,0.48000002,0.8366029,0.5254331,0.41253975143441496
un homme joue de la guitare.,someoen joue de la guitare.,0.71999997,0.85504234,0.46604124,0.7028518398875812
une femme est en train de couper un poireau.,une femme est en train de couper du gingembre.,0.44,0.7875345,0.4902299,0.3967411469569641
l'homme a coupe une assiette en papier.,un homme coupe une assiette en papier.,0.96000004,0.96182954,0.65923434,0.5512853169443332
l'homme joue de la guitare.,un homme joue de la flute.,0.3286,0.7025917,0.38455606,0.5650337710756459
un homme joue du piano.,l'homme joue du violon.,0.35,0.803848,0.4458004,0.6040720469515894
une femme est en train de decouper de la viande.,une femme est en train de paner un peu de viande.,0.45,0.9424645,0.65626544,0.441125145625469
un homme joue sur son clavier.,un homme joue d'un piano a clavier.,0.8,0.92814267,0.54271907,0.7667875317066033
la dame a coupe les oignons verts.,la dame a coupe un oignon vert.,0.96000004,0.97985584,0.7791024,0.38813946709710145
quelqu'un met des nouilles dans l'eau.,une femme fait bouillir des nouilles dans de l'eau.,0.64,0.7808679,0.49506634,0.32412628777084246
lionel richie danse au plafond.,lionel ritchie danse debout au plafond.,0.8,0.95752835,0.6592617,0.4883209210048312
un homme joue du piano.,une personne joue du piano.,0.88,0.93533105,0.57958555,0.6682965518811056
une femme joue de la flute.,une femme joue de la flute.,0.91999996,1.0,1.0,0.6437353218946213
un garcon verifie un calendrier.,un garcon regarde un calendrier.,0.76,0.8995877,0.6232676,0.3077483791933099
une femme est en train de couper un oignon.,une femme est en train de couper des oignons.,0.96000004,0.9806483,0.75236714,0.4586965056326564
un homme joue de la guitare.,un homme joue de la guitare.,0.97139996,1.0000001,1.0,0.9208959761049097
une femme utilise une machine a coudre.,une femme est en train de coudre sur une machine.,1.0,0.9122145,0.61218613,0.4083957387231516
une femme fait des crepes.,un chef de bande dessinee fait des crepes.,0.5066,0.4523824,0.4756479,0.11920856469678975
un homme court sur la route.,une voiture est en train de rouler sur la route.,0.2,0.69352835,0.42466447,0.4107516117145465
un homme est monte sur un cheval.,un homme parle au telephone.,0.2,0.43253636,0.3362147,0.2993226805225486
un homme est a velo.,un homme est monte sur un cheval.,0.4,0.57760984,0.3850814,0.2773436628800095
une femme est en train de danser.,un homme est en train de manger.,0.028600002,0.4460922,0.3505494,0.2800161102541761
un homme joue du piano.,un homme joue de la flute.,0.4,0.8085935,0.44952494,0.6022438996211229
un homme joue de la flute.,un homme joue du piano.,0.32,0.8085935,0.44952494,0.6022438996211229
un homme tourne.,un homme est en train de danser.,0.32,0.59061325,0.39840457,0.27871307370812815
un singe se balance de membre en membre.,un singe se balance d'arbre en arbre.,0.68,0.64990294,0.39957234,0.3911348735108509
les gens sont descendus du train.,les gens sont descendus du train a la gare.,0.8,0.9474956,0.61860573,0.6289732980468822
un chien saute sur un trampoline.,un chien rebondit sur un trampoline.,0.96000004,0.9564816,0.66468054,0.5346363110446598
un garcon joue d'un instrument.,un homme joue de la trompette.,0.5,0.80991125,0.4807094,0.4769788505628254
une femme joue de la guitare.,un homme chante et joue de la guitare.,0.35,0.8691894,0.47618315,0.7659821497416224
une femme choisit une boite de conserve.,une femme coupe une tomate.,0.2,0.4832998,0.386121,0.23466351774521116
un homme est en train de grimper a une corde.,un homme grimpe sur une corde.,1.0,0.9397735,0.6733639,0.35071182440729437
un homme souleve une voiture.,un homme est en train d'escalader un mur.,0.28,0.45387977,0.37313643,0.2325459907476735
un homme et une femme descendent la rue dans une jeep.,un homme et une femme roulent sur la route dans un vehicule en plein air.,0.8,0.8408643,0.47562298,0.6153321410150168
l'homme torse nu s'est assis sur une chaise.,un homme torse nu est assis sur une chaise.,0.76,0.96840507,0.68244976,0.6210936727538922
deux femmes luttent.,deux femmes se battent sur le sol.,0.8,0.81646734,0.46914127,0.5369405838062636
le chiot jouait avec une balle de tennis bleue.,un chiot joue avec une balle de tennis.,0.8,0.84616685,0.48412567,0.6013040258409941
un kangourou est en train de manger quelque chose.,un kangourou est en train de manger.,0.96000004,0.9627864,0.6617435,0.5832678715342113
un chat joue du piano.,un homme joue de la guitare.,0.120000005,0.5735593,0.33132103,0.5316149084002766
l'homme a coupe du tapis avec un couteau.,un homme coupe un tapis avec un couteau.,0.95,0.96274793,0.65995723,0.6365613646090431
une femme conduit un scooter motorise sur une route.,un homme conduit un scooter.,0.44,0.8684732,0.47941205,0.726916374081052
quelqu'un coupe un legume.,quelqu'un est en train de couper une tomate.,0.6,0.7219806,0.47683975,0.3049809682205668
une femme est en train de danser.,un homme parle.,0.0,0.3995702,0.34876972,0.2350593882581389
un chien leche la bave d'un bebe.,un chien leche un bebe.,0.44,0.98529315,0.7663812,0.5754780236680535
un homme rame sur un bateau.,un homme coupe une tomate en tranches.,0.08,0.35521266,0.34163138,0.216467855971338
un homme coupe des pommes de terre.,un homme coupe des pommes de terre.,0.96000004,1.0,1.0,0.41607785367711064
une femme est en train de hacher de l'ail.,la femme coupe l'ail en des.,0.96000004,0.85711575,0.5401317,0.3925630536885246
un animal tourne en rond.,un ecureuil tourne en rond.,0.76,0.75459105,0.4813741,0.3571976987299882
un homme marche lentement sur un pont de corde.,un garcon marche sur un pont.,0.6,0.8169509,0.47310266,0.5112237963088774
un homme joue de la guitare.,un homme assis dans une piece joue de la guitare.,0.8,0.8895444,0.48976943,0.8296811516552435
un homme joue de la flute.,un homme joue de la flute.,1.0,1.0,1.0,0.6879546705055668
une femme casse deux ufs dans un bol en verre.,une femme casse un uf dans un bol.,0.76,0.8269503,0.56220526,0.28264541216593303
un homme coupe un poisson.,un homme etripe un poisson.,0.6,0.9204303,0.6084222,0.46634684983702285
deux hommes font leurs valises dans le coffre d'une voiture.,les hommes mettent des valises dans le coffre de la voiture.,0.88,0.9405002,0.59695154,0.630126066356174
un homme verse de l'huile sur des tomates.,l'homme a verse de l'huile sur les tomates coupees.,0.76,0.9524812,0.6544242,0.5282374031565503
un homme est en train de decouper quelque chose.,un homme est en train de couper un petit pain.,0.6,0.6166847,0.42071214,0.2892155073028761
un homme pagaie dans un canoe.,un homme joue de la harpe.,0.1334,0.6704622,0.45453477,0.28522344070746264
un homme et une femme marchent ensemble a travers les bois.,un homme et une femme marchent bras dessus bras dessous dans une zone boisee.,0.8,0.8117237,0.45352465,0.5868980174300477
la femme a ramasse le kangourou.,une femme ramasse un bebe kangourou.,0.75,0.88814485,0.54532146,0.5350922147641223
les poissons nagent.,un poisson nage.,0.82659996,0.9389719,0.6047474,0.5963369371670343
deux femmes melangent quelque chose dans un robot menager.,deux femmes font quelque chose dans un mixeur.,0.8,0.6676175,0.40431404,0.42958482396275444
une personne surfe sur une grande vague.,une personne est en train de surfer.,0.71999997,0.84620523,0.5547605,0.3501762759074746
un homme joue de la guitare.,un homme poignarde une cible.,0.24000001,0.38098282,0.31701615,0.26676879720594343
un homme joue de la flute dans un groupe.,un homme joue de la guitare.,0.32,0.70722914,0.37759954,0.6281499170152596
l'homme a etale du beurre sur la miche de pain.,un homme etend du beurre sur du pain.,0.8,0.8912095,0.60672486,0.343750042559839
une personne fait bouillir des nouilles.,une femme fait bouillir des nouilles dans de l'eau.,0.8,0.6528431,0.44675672,0.22579272351122742
un groupe de personnes danse sur une colline.,un groupe de personnes est en train de danser.,0.64,0.86945146,0.5045852,0.6125711800709975
un homme est en train de danser dehors.,un homme joue de la flute.,0.2,0.47320095,0.33259955,0.3606279155260221
une femme nourrit un homme.,une femme est en train de melanger de la viande.,0.2,0.64107513,0.42657933,0.32032253586540105
un homme met une casserole dans un four.,une femme est en train de couper un oignon.,0.120000005,0.5127893,0.39316908,0.25940669955549384
une femme est assise a un bureau.,une femme monte un ane.,0.08,0.54471594,0.35914278,0.27007445871756625
les medecins transportent un patient sur un brancard.,un medecin precipite un patient sur une civiere.,0.68,0.89440084,0.6422795,0.22634851551335958
une femme joue de la flute sur scene.,la femme joue de la flute.,0.71999997,0.93793106,0.5908888,0.6931846414312997
deux bebes pandas jouent.,deux pandas sont couches ensemble.,0.6,0.7766552,0.46879414,0.438909735083919
un bebe rit.,un bebe rit et glousse.,0.8,0.8074757,0.5918608,0.21030426517846199
un homme joue de la guitare.,un garcon joue du piano.,0.24000001,0.7170991,0.39099273,0.5604233515576061
un homme est en train de plier du papier.,une femme est en train de couper un poivron.,0.120000005,0.42119303,0.38400868,0.20221935028882454
trois femmes dansent.,l'homme est en train de danser.,0.32,0.7225723,0.40225267,0.544290740187319
les chats jouent entre eux.,deux chats s'affrontent.,0.52,0.7955787,0.45414075,0.5152430794106291
une personne est en train d'ecrire.,une personne ecrit avec un crayon.,0.71999997,0.7200533,0.4735119,0.31308771732906004
un homme est en train de courir.,un homme est en train de courir sur une route.,0.7,0.92235297,0.5815922,0.5597992676972963
la femme est en train de rouler la pate.,une femme est en train de fariner et de rouler la pate.,0.753,0.874327,0.6085829,0.28847305669922807
une femme ajoute des epices sur une viande.,une femme ajoute du sucre a la viande.,0.55,0.71694064,0.45203808,0.36035688357579393
une femme ajoute de l'huile sur des poissons.,une femme verse de l'eau sur des poissons.,0.45,0.7924851,0.47386584,0.46086964233729993
un jeune garcon tient une guitare.,un petit garcon joue de la guitare.,0.55,0.90758634,0.55008227,0.6272242071495583
un guepard est en train de courir.,un guepard court a travers un champ.,0.76,0.7235576,0.4460286,0.3181372181943499
l'homme mange une pizza.,un homme mange une tranche de pizza.,0.96000004,0.9605153,0.61721015,0.777017800237969
un orang-outan est dans un bus.,un singe monte dans un bus.,0.71999997,0.7797522,0.44293034,0.529209134848822
un homme et une femme discutent dans un restaurant.,un homme et une femme sont a velo.,0.24000001,0.63449085,0.395164,0.3468132614377395
un homme joue de la guitare.,un homme est en train de nettoyer une porte en verre.,0.08,0.3733365,0.3039124,0.3099275083232881
une fille chante et joue de la guitare.,un jeune homme chante tout en jouant de la guitare.,0.48000002,0.8637419,0.46677163,0.7860030389005263
une fille communique avec le langage des signes.,une jeune fille utilise le langage des signes.,0.7882,0.8998163,0.5572744,0.5473507994227703
une femme fait des exercices de musculation.,une femme se coiffe.,0.1,0.4617434,0.35503808,0.2816031877610879
un homme monte dans une voiture.,un homme age monte dans une voiture rouge.,0.75,0.7785312,0.43973988,0.552078191083343
une grosse balle verte renverse une pomme de terre.,une grosse balle verte frappe une pomme de terre.,0.8,0.9903376,0.8175551,0.4711403107107401
un chat joue des claviers.,un chat joue du piano.,0.6,0.8908275,0.50342643,0.6817096916813271
deux chiens nagent dans une piscine.,les chiens nagent dans une piscine.,0.84,0.9649731,0.62610996,0.9275791646508964
l'homme a utilise un hachoir pour couper l'oignon.,l'homme a utilise une machine pour hacher une pomme de terre.,0.4,0.61691695,0.40596944,0.3417435824420499
une femme coupe du tofu.,une femme est en train de couper du tofu.,1.0,0.93467605,0.61858785,0.47360082234379725
un troupeau de cerfs traverse la rue.,un troupeau de caribous traverse une route.,0.6,0.8194556,0.52859795,0.36044949378551167
la personne est a cheval.,un homme est a cheval.,0.76,0.89772165,0.5682674,0.4490707965503285
quelqu'un nourrit un animal.,quelqu'un joue du piano.,0.0,0.4106561,0.3806487,0.19583453004791096
quelqu'un coupe des tortillas.,quelqu'un monte a cheval.,0.0,0.38910416,0.42338598,0.13782184948755558
quelqu'un melange les ingredients.,quelqu'un est en train de coudre des choses.,0.05,0.42260867,0.43563706,0.13983202490905214
un coq picore une souris morte.,un poulet picore une souris morte.,0.8,0.83595496,0.58224803,0.2516855357789903
une femme tient un kangourou.,une femme est en train de ramasser un kangourou.,0.65,0.9391125,0.62136495,0.554436548207422
un homme joue avec des grenouilles,un chat joue avec un appareil photo.,0.15,0.501202,0.33827373,0.3647621442410117
deux hommes parlent.,deux hommes jouent de la guitare.,0.3,0.46694404,0.3185272,0.3781527307313372
un homme etend du beurre sur un gros morceau de pain.,un homme enduit du beurre sur une tranche de pain a l'ail.,0.7,0.86993563,0.5519298,0.43399350575807244
un homme court a travers un haut fil.,un homme court sur une corde.,0.6,0.8521296,0.5354457,0.42041558515646604
un homme est en train de tondre une pelouse.,une femme coupe un citron.,0.04,0.39269072,0.374795,0.19432459139803468
un homme ouvre une porte.,un homme joue de la guitare.,0.16,0.3853073,0.3062725,0.3174882494259229
un homme coupe une pomme de terre en morceaux.,un homme coupe une pomme de terre.,0.84,0.97225547,0.7101139,0.5165893485816371
la femme coupe un poulpe cuit.,une femme est en train de decouper un poulpe.,0.76,0.73439753,0.5163601,0.2510540866831781
un homme est en train de percer des planches.,un chien court dans l'eau.,0.08,0.44730943,0.36254486,0.23330033903944059
un homme est en train de danser.,un homme mange du pain.,0.16,0.35226405,0.34426373,0.20166778567038302
quelqu'un joue du piano.,un homme joue de la guitare.,0.24000001,0.6083839,0.36083415,0.42617323816185204
deux renards mangent dans une assiette sur un patio en briques.,les renards mangent dans une assiette.,0.56,0.77747065,0.45647305,0.4034173189176498
un garcon joue au clavier.,un garcon joue du piano.,0.64,0.83648854,0.49863932,0.4795109662309726
une personne joue au clavier.,quelqu'un joue du clavier.,1.0,0.9370599,0.6440641,0.430466560321818
un homme tire au fusil.,un homme est en train de cracher.,0.0,0.53800505,0.39967346,0.2569274479741173
quelqu'un est en train de couper un oignon.,someoen est en train de peler une pomme de terre.,0.2,0.49011537,0.43119016,0.1836132182748446
un homme est en train de nager.,une femme est en train de couper de la viande.,0.0,0.3573609,0.32937288,0.23937269243276638
un homme joue de la guitare.,un homme joue d'une guitare acoustique.,0.75,0.96618575,0.63150406,0.8111259879425646
une femme coupe une citrouille.,une femme monte un elephant.,0.08,0.3625371,0.34593144,0.2006246678493971
une femme est en train de danser.,une femme petrit la pate.,0.08,0.54423773,0.39007232,0.22303422490925479
une femme casse des ufs dans un bol.,une femme place des brochettes sur une etagere.,0.120000005,0.6832305,0.5163063,0.20274522374555848
une voiture se deplace sur une route.,une voiture est en train de rouler sur la route.,0.8,0.9294549,0.6083603,0.4797018957974543
quelqu'un graisse une casserole.,smeone est en train de se coucher.,0.08,0.19970535,0.39764738,0.08341753508077468
un homme joue de la guitare.,un homme est en train d'egoutter des pates.,0.08,0.4525977,0.33641022,0.23951158595670546
une femme boit de la vodka.,une femme fait de l'exercice.,0.08,0.40811884,0.3616413,0.2262588470397152
une femme coupe de la viande en morceaux.,une femme est en train de decouper de la viande.,0.96000004,0.8979443,0.5923022,0.4118932667986721
un homme est en train de rincer un steak.,un homme joue de la guitare.,0.120000005,0.4562263,0.3244568,0.34387424919404874
un homme vend des objets.,un homme nettoie la maison.,0.16,0.47068718,0.42679623,0.17626897805189237
un homme saute un mur.,un homme saute sur un court mur.,0.64,0.9544111,0.6616591,0.48878658692992977
les coureurs font la course autour d'une piste.,les coureurs s'affrontent dans une course.,0.64,0.9357623,0.63805205,0.45083182871704663
un homme donne un coup de pied dans un ballon de foot.,un homme est en train de melanger un bol.,0.120000005,0.71818966,0.45587903,0.32000206095850237
une femme est en train de faire frire quelque chose.,une femme monte a cheval.,0.120000005,0.55163455,0.40182203,0.25670293903512387
un chat leche une ventouse.,une femme est en train de couper un concombre.,0.0,0.29423645,0.35587895,0.1514005218661585
une femme danse pres d'un feu.,une femme prend un bain.,0.28,0.4359532,0.35920766,0.25320730674507286
l'homme est en train d'ouvrir un poisson.,un homme coupe une pomme de terre en tranches.,0.44,0.34724373,0.33484384,0.22275096841134387
le beurre fond dans une casserole.,un homme fait fondre du beurre dans une poele.,0.71999997,0.6865493,0.47238025,0.2782889407382583
trois garcons sont en train de danser.,les enfants dansent.,0.6222,0.7285559,0.42603505,0.45945124615589994
une femme joue un jeu avec un homme.,un homme joue du piano.,0.120000005,0.56968254,0.34556293,0.46508822261036425
l'homme conduit une voiture blanche.,un homme donne une interview.,0.08,0.32689607,0.3363247,0.19601180777994837
un homme conduisait sa voiture.,un homme conduit une voiture.,0.85,0.9474284,0.6382757,0.5588815767862245
une voiture recule d'un espace.,une voiture sort d'une voie bloquee.,0.6,0.7023388,0.5054101,0.23153891464124596
un homme met du fromage sur une pizza.,l'homme a saupoudre du fromage sur la pizza.,1.0,0.926422,0.56252325,0.7253293619460529
le garcon joue du piano.,un garcon joue du piano.,1.0,0.97398686,0.70675623,0.615972785759888
l'homme jouait de la guitare.,un homme joue de la guitare.,0.75,0.9665772,0.6386669,0.8670852168751882
un homme est a cheval.,un homme joue du clavier.,0.04,0.4053583,0.34675053,0.25223357031414373
un homme marche sur une corde.,un homme est a cheval sur un mo-pad.,0.08,0.6190343,0.41447788,0.32661608602080805
une fille joue de la flute.,un groupe joue sur une scene.,0.2572,0.44014087,0.33542922,0.31315531188683526
les gens descendent d'un train.,un groupe de personnes descend d'un train.,0.91999996,0.9282349,0.58907294,0.5838442774794947
une femme est en train de coudre sur une machine.,une femme est en train de paner un peu de viande.,0.120000005,0.5659181,0.40988585,0.27806955259909627
un chien regarde dans la piscine.,un chien se promene autour d'une piscine.,0.4,0.90337205,0.52424735,0.7343077147671347
un homme est en train de beurrer un morceau de pain.,un homme applique du beurre sur du pain.,1.0,0.89306086,0.5605324,0.45183903556729965
un homme coupe des tomates en morceaux.,une femme est en train de couper des legumes.,0.35999998,0.64974844,0.41588685,0.3655208724509325
